run_id,timestamp,mode,steps,size,elapsed_seconds,total_read_bytes,total_write_bytes,file_write_bytes,pipe_write_bytes,read_calls,write_calls
20260603_185049,2026-06-03T18:50:50,batch,100,32,0.421,1936260,422325,422325,0,178,400
20260603_185049,2026-06-03T18:50:50,stream,100,32,0.157,1936260,422325,2083,420242,278,400
20260603_185050,2026-06-03T18:50:52,batch,100,64,0.619,3165151,1651216,1651216,0,278,400
20260603_185050,2026-06-03T18:50:52,stream,100,64,0.28,3165151,1651216,2083,1649133,377,400
20260603_185052,2026-06-03T18:50:54,batch,100,128,1.272,8080427,6566492,6566492,0,278,400
20260603_185052,2026-06-03T18:50:54,stream,100,128,0.677,8080427,6566492,2083,6564409,474,400
20260603_185054,2026-06-03T18:51:00,batch,100,256,3.763,27741528,26227593,26227593,0,278,700
20260603_185054,2026-06-03T18:51:00,stream,100,256,2.176,27741528,26227593,2083,26225510,675,700
20260603_185101,2026-06-03T18:51:02,batch,50,128,0.975,4798190,3283239,3283239,0,177,200
20260603_185101,2026-06-03T18:51:02,stream,50,128,0.405,4798190,3283239,1067,3282172,274,200
20260603_185102,2026-06-03T18:51:06,batch,200,128,2.217,14645020,13133185,13133185,0,479,800
20260603_185102,2026-06-03T18:51:06,stream,200,128,1.239,14645020,13133185,4183,13129002,874,800
20260603_185106,2026-06-03T18:51:15,batch,400,128,5.785,27774403,26266768,26266768,0,882,1600
20260603_185106,2026-06-03T18:51:15,stream,400,128,2.349,27774403,26266768,8383,26258385,1674,1600
